,spotlist_id,housemodel_id
0,2021001,2021000
1,2021001,2021001
2,2021001,2021002
3,2021001,2021003
4,2021001,2021004
5,2021001,2021005
6,2021001,2021006
7,2021001,2021007
8,2021001,2021008
9,2021001,2021009
10,2021002,2021035
11,2021002,2021036
12,2021002,2021037
13,2021002,2021038
14,2021002,2021022
15,2021002,2021039
16,2021002,2021008
17,2021002,2021040
18,2021002,2021005
19,2021002,2021015
20,2021003,2021035
21,2021003,2021036
22,2021003,2021037
23,2021003,2021038
24,2021003,2021022
25,2021003,2021039
26,2021003,2021008
27,2021003,2021040
28,2021003,2021005
29,2021003,2021015
30,2021004,2021005
31,2021004,2021015
32,2021004,2021012
33,2021004,2021041
34,2021004,2021016
35,2021004,2021042
36,2021004,2021003
37,2021004,2021017
38,2021004,2021011
39,2021004,2021043
40,2021005,2021027
41,2021005,2021028
42,2021005,2021010
43,2021005,2021029
44,2021005,2021030
45,2021005,2021031
46,2021005,2021032
47,2021005,2021011
48,2021005,2021033
49,2021005,2021034
50,2021006,2021027
51,2021006,2021010
52,2021006,2021028
53,2021006,2021029
54,2021006,2021030
55,2021006,2021031
56,2021006,2021032
57,2021006,2021011
58,2021006,2021033
59,2021006,2021034
60,2021007,2021005
61,2021007,2021015
62,2021007,2021012
63,2021007,2021041
64,2021007,2021016
65,2021007,2021042
66,2021007,2021044
67,2021007,2021007
68,2021007,2021003
69,2021007,2021017
70,2021008,2021020
71,2021008,2021045
72,2021008,2021046
73,2021008,2021047
74,2021008,2021048
75,2021008,2021049
76,2021008,2021050
77,2021008,2021024
78,2021008,2021051
79,2021008,2021052
80,2021009,2021005
81,2021009,2021015
82,2021009,2021012
83,2021009,2021041
84,2021009,2021042
85,2021009,2021044
86,2021009,2021007
87,2021009,2021017
88,2021009,2021011
89,2021009,2021040
90,2021010,2021053
91,2021010,2021054
92,2021010,2021055
93,2021010,2021056
94,2021010,2021057
95,2021010,2021058
96,2021010,2021059
97,2021010,2021060
98,2021010,2021061
99,2021010,2021062
100,2021011,2021053
101,2021011,2021055
102,2021011,2021059
103,2021011,2021061
104,2021011,2021063
105,2021011,2021064
106,2021011,2021065
107,2021011,2021054
108,2021011,2021066
109,2021011,2021067
110,2021012,2021068
111,2021012,2021069
112,2021012,2021070
113,2021012,2021071
114,2021012,2021072
115,2021012,2021073
116,2021012,2021074
117,2021012,2021075
118,2021012,2021076
119,2021012,2021077
120,2021013,2021027
121,2021013,2021010
122,2021013,2021028
123,2021013,2021029
124,2021013,2021030
125,2021013,2021031
126,2021013,2021032
127,2021013,2021011
128,2021013,2021033
129,2021013,2021034
130,2021014,2021078
131,2021014,2021055
132,2021014,2021053
133,2021014,2021079
134,2021014,2021059
135,2021014,2021061
136,2021014,2021065
137,2021014,2021063
138,2021014,2021080
139,2021014,2021081
140,2021015,2021005
141,2021015,2021012
142,2021015,2021041
143,2021015,2021016
144,2021015,2021044
145,2021015,2021007
146,2021015,2021003
147,2021015,2021017
148,2021015,2021011
149,2021015,2021040
150,2021016,2021082
151,2021016,2021083
152,2021016,2021084
153,2021016,2021085
154,2021016,2021086
155,2021016,2021087
156,2021016,2021088
157,2021016,2021089
158,2021016,2021090
159,2021016,2021091
160,2021017,2021010
161,2021017,2021011
162,2021017,2021005
163,2021017,2021015
164,2021017,2021012
165,2021017,2021093
166,2021017,2021017
167,2021017,2021094
168,2021017,2021095
169,2021017,2021096
170,2021018,2021010
171,2021018,2021011
172,2021018,2021005
173,2021018,2021012
174,2021018,2021093
175,2021018,2021016
176,2021018,2021017
177,2021018,2021094
178,2021018,2021095
179,2021018,2021096
180,2021019,2021010
181,2021019,2021005
182,2021019,2021011
183,2021019,2021008
184,2021019,2021012
185,2021019,2021029
186,2021019,2021037
187,2021019,2021027
188,2021019,2021028
189,2021019,2021003
190,2021020,2021038
191,2021020,2021037
192,2021020,2021022
193,2021020,2021002
194,2021020,2021008
195,2021020,2021005
196,2021020,2021010
197,2021020,2021041
198,2021020,2021015
199,2021020,2021027
200,2021021,2021078
201,2021021,2021055
202,2021021,2021053
203,2021021,2021079
204,2021021,2021059
205,2021021,2021061
206,2021021,2021065
207,2021021,2021063
208,2021021,2021080
209,2021021,2021081
210,2021022,2021020
211,2021022,2021045
212,2021022,2021046
213,2021022,2021047
214,2021022,2021048
215,2021022,2021049
216,2021022,2021050
217,2021022,2021024
218,2021022,2021051
219,2021022,2021052
220,2021023,2021082
221,2021023,2021083
222,2021023,2021084
223,2021023,2021085
224,2021023,2021086
225,2021023,2021087
226,2021023,2021088
227,2021023,2021089
228,2021023,2021090
229,2021023,2021091
230,2021024,2021068
231,2021024,2021069
232,2021024,2021070
233,2021024,2021071
234,2021024,2021072
235,2021024,2021073
236,2021024,2021074
237,2021024,2021075
238,2021024,2021076
239,2021024,2021077
240,2021025,2021068
241,2021025,2021069
242,2021025,2021070
243,2021025,2021071
244,2021025,2021072
245,2021025,2021073
246,2021025,2021074
247,2021025,2021075
248,2021025,2021076
249,2021025,2021077
250,2021026,2021097
251,2021026,"[1, 2021027]"
252,2021026,"[1, 2021039]"
253,2021026,"[1, 2021071]"
254,2021026,"[1, 2021062]"
255,2021026,"[2, 2021004]"
256,2021026,"[2, 2021028]"
257,2021026,"[2, 2021014]"
258,2021026,"[2, 2021009]"
259,2021026,"[2, 2021029]"
260,2021027,2021002
261,2021027,2021008
262,2021027,2021040
263,2021027,2021037
264,2021027,2021022
265,2021027,2021005
266,2021027,2021044
267,2021027,2021012
268,2021027,2021098
269,2021027,2021010
270,2021028,2021010
271,2021028,2021011
272,2021028,2021005
273,2021028,2021012
274,2021028,2021093
275,2021028,2021016
276,2021028,2021017
277,2021028,2021094
278,2021028,2021095
279,2021028,2021096
280,2021029,2021005
281,2021029,2021015
282,2021029,2021012
283,2021029,2021041
284,2021029,2021042
285,2021029,2021044
286,2021029,2021007
287,2021029,2021017
288,2021029,2021011
289,2021029,2021040
290,2021030,2021099
291,2021030,2021100
292,2021030,2021101
293,2021030,2021102
294,2021030,2021103
295,2021030,2021104
296,2021030,2021105
297,2021030,2021106
298,2021030,2021107
299,2021030,2021108
300,2021031,2021078
301,2021031,2021055
302,2021031,2021053
303,2021031,2021079
304,2021031,2021059
305,2021031,2021061
306,2021031,2021065
307,2021031,2021063
308,2021031,2021080
309,2021031,2021081
310,2021032,2021078
311,2021032,2021055
312,2021032,2021053
313,2021032,2021079
314,2021032,2021059
315,2021032,2021061
316,2021032,2021065
317,2021032,2021063
318,2021032,2021080
319,2021032,2021081
320,2021033,2021099
321,2021033,2021100
322,2021033,2021101
323,2021033,2021102
324,2021033,2021103
325,2021033,2021104
326,2021033,2021105
327,2021033,2021106
328,2021033,2021107
329,2021033,2021108
330,2021034,2021053
331,2021034,2021054
332,2021034,2021055
333,2021034,2021078
334,2021034,2021056
335,2021034,2021057
336,2021034,2021058
337,2021034,2021059
338,2021034,2021060
339,2021034,2021061
340,2021035,2021109
341,2021035,2021110
342,2021035,2021010
343,2021035,2021037
344,2021035,2021029
345,2021035,2021098
346,2021035,2021005
347,2021035,2021027
348,2021035,2021028
349,2021035,2021022
350,2021036,2021010
351,2021036,2021011
352,2021036,2021005
353,2021036,2021015
354,2021036,2021012
355,2021036,2021093
356,2021036,2021016
357,2021036,2021017
358,2021036,2021094
359,2021036,2021095
