,spotlist_id,spotmodel_id,model_day
0,2020001,2020009,1.0
1,2020001,2020008,1.0
2,2020001,2020011,2.0
3,2020001,2020012,2.0
4,2020001,2020014,2.0
5,2020001,2020013,2.0
6,2020001,2020022,2.0
7,2020001,2020015,2.0
8,2020001,2020023,2.0
9,2020001,2020024,2.0
10,2020001,2020002,3.0
11,2020001,2020025,3.0
12,2020001,2020003,3.0
13,2020001,2020004,4.0
14,2020001,2020005,4.0
15,2020001,2020006,4.0
16,2020001,2020007,4.0
17,2020002,2020008,1.0
18,2020002,2020034,1.0
19,2020002,2020009,1.0
20,2020002,2020035,1.0
21,2020002,2020021,1.0
22,2020002,2020036,2.0
23,2020002,2020037,2.0
24,2020002,2020000,2.0
25,2020002,2020026,2.0
26,2020002,2020038,2.0
27,2020002,2020039,2.0
28,2020002,2020033,2.0
29,2020002,2020040,3.0
30,2020002,2020041,3.0
31,2020002,2020042,3.0
32,2020002,2020019,3.0
33,2020002,2020020,3.0
34,2020002,2020018,3.0
35,2020002,2020043,3.0
36,2020003,2020101,1.0
37,2020003,2020021,1.0
38,2020003,2020040,2.0
39,2020004,2020009,2.0
40,2020004,2020019,2.0
41,2020004,2020042,2.0
42,2020004,2020021,2.0
43,2020004,2020104,3.0
44,2020004,2020105,3.0
45,2020004,2020037,3.0
46,2020004,2020026,3.0
47,2020004,2020040,4.0
48,2020004,2020032,4.0
49,2020004,2020033,4.0
50,2020004,2020049,4.0
51,2020005,2020000,1.0
52,2020005,2020003,2.0
53,2020005,2020002,2.0
54,2020005,2020008,3.0
55,2020005,2020009,3.0
56,2020005,2020010,3.0
57,2020005,2020071,3.0
58,2020005,2020040,4.0
59,2020005,2020041,4.0
60,2020005,2020042,4.0
61,2020005,2020019,4.0
62,2020005,2020072,4.0
63,2020005,2020021,4.0
64,2020006,2020009,2.0
65,2020006,2020035,2.0
66,2020006,2020008,2.0
67,2020006,2020034,2.0
68,2020006,2020032,2.0
69,2020006,2020033,2.0
70,2020006,2020036,3.0
71,2020006,2020076,3.0
72,2020006,2020037,3.0
73,2020006,2020026,3.0
74,2020006,2020001,3.0
75,2020006,2020040,4.0
76,2020006,2020042,4.0
77,2020006,2020073,4.0
78,2020007,2020008,1.0
79,2020007,2020034,1.0
80,2020007,2020009,1.0
81,2020007,2020035,1.0
82,2020007,2020016,1.0
83,2020007,2020018,1.0
84,2020007,2020090,1.0
85,2020007,2020011,2.0
86,2020007,2020014,2.0
87,2020007,2020012,2.0
88,2020007,2020013,2.0
89,2020007,2020015,2.0
90,2020007,2020091,2.0
91,2020007,2020024,2.0
92,2020007,2020054,2.0
93,2020007,2020001,2.0
94,2020007,2020033,2.0
95,2020007,2020021,2.0
96,2020007,2020040,3.0
97,2020007,2020041,3.0
98,2020007,2020047,3.0
99,2020007,2020045,3.0
100,2020007,2020077,3.0
101,2020008,2020000,1.0
102,2020008,2020008,2.0
103,2020008,2020009,2.0
104,2020008,2020010,2.0
105,2020008,2020071,2.0
106,2020008,2020040,3.0
107,2020008,2020041,3.0
108,2020008,2020042,3.0
109,2020008,2020019,3.0
110,2020008,2020072,3.0
111,2020008,2020021,3.0
112,2020009,2020026,1.0
113,2020009,2020040,1.0
114,2020009,2020042,1.0
115,2020009,2020021,1.0
116,2020009,2020026,2.0
117,2020009,2020040,2.0
118,2020009,2020042,2.0
119,2020010,2020000,1.0
120,2020010,2020001,1.0
121,2020010,2020002,2.0
122,2020010,2020003,2.0
123,2020010,2020004,3.0
124,2020010,2020005,3.0
125,2020010,2020006,3.0
126,2020010,2020007,3.0
127,2020010,2020045,4.0
128,2020010,2020047,4.0
129,2020010,2020008,5.0
130,2020010,2020009,5.0
131,2020010,2020040,6.0
132,2020010,2020041,6.0
133,2020010,2020019,6.0
134,2020010,2020042,6.0
135,2020010,2020072,6.0
136,2020010,2020021,6.0
137,2020011,2020048,1.0
138,2020011,2020016,1.0
139,2020011,2020049,1.0
140,2020011,2020009,2.0
141,2020011,2020035,2.0
142,2020011,2020010,2.0
143,2020011,2020008,2.0
144,2020011,2020034,2.0
145,2020011,2020050,2.0
146,2020011,2020038,2.0
147,2020011,2020039,2.0
148,2020011,2020033,2.0
149,2020011,2020026,3.0
150,2020011,2020036,3.0
151,2020011,2020037,3.0
152,2020011,2020000,3.0
153,2020011,2020040,4.0
154,2020011,2020041,4.0
155,2020011,2020042,4.0
156,2020011,2020019,4.0
157,2020011,2020020,4.0
158,2020011,2020018,4.0
159,2020011,2020043,4.0
160,2020011,2020021,4.0
161,2020011,2020051,5.0
162,2020011,2020049,5.0
163,2020012,2020048,1.0
164,2020012,2020000,1.0
165,2020012,2020049,1.0
166,2020012,2020009,2.0
167,2020012,2020035,2.0
168,2020012,2020010,2.0
169,2020012,2020008,2.0
170,2020012,2020034,2.0
171,2020012,2020050,2.0
172,2020012,2020038,2.0
173,2020012,2020039,2.0
174,2020012,2020033,2.0
175,2020012,2020026,3.0
176,2020012,2020036,3.0
177,2020012,2020037,3.0
178,2020012,2020000,3.0
